numer_sta,date,t,u,pres,tend24
7110,20200111120000,283.550000,75,101680,-170
7149,20200111120000,281.650000,63,102230,740
7190,20200111120000,281.750000,57,101540,1250
7481,20200111120000,280.150000,76,100420,760
7630,20200111120000,282.150000,61,101550,470
7690,20200111120000,287.950000,63,102420,300
7015,20200111150000,280.850000,75,102310,210
7110,20200111150000,283.350000,75,101540,-350
7149,20200111150000,280.650000,68,102080,350
7190,20200111150000,281.250000,62,101430,870
7481,20200111150000,279.250000,76,100320,510
7630,20200111150000,283.050000,55,101350,210
7690,20200111150000,288.650000,73,102320,230
7015,20200111180000,280.050000,73,102270,-140
7110,20200111180000,282.550000,87,101490,-480
7149,20200111180000,278.750000,79,102040,10
7190,20200111180000,275.650000,90,101400,430
7481,20200111180000,278.850000,80,100280,270
7630,20200111180000,279.850000,68,101340,-30
7690,20200111180000,283.450000,77,102400,230
7015,20200111210000,278.750000,78,102140,-450
7110,20200111210000,283.250000,82,101350,-670
7149,20200111210000,276.850000,88,101950,-250
7190,20200111210000,273.550000,96,101330,90
7481,20200111210000,277.250000,86,100250,40
7630,20200111210000,276.050000,82,101340,-190
7690,20200111210000,282.450000,68,102460,200
7015,20200112000000,279.350000,77,101970,-730
7110,20200112000000,283.450000,90,101200,-810
7149,20200112000000,275.950000,88,101790,-560
7190,20200112000000,271.950000,98,101230,-170
7481,20200112000000,277.650000,86,100190,-50
7630,20200112000000,273.550000,95,101280,-290
7690,20200112000000,282.150000,61,102450,140
7015,20200112030000,278.750000,79,101820,-830
7110,20200112030000,283.750000,98,101090,-780
7149,20200112030000,276.750000,86,101710,-610
7190,20200112030000,271.250000,99,101140,-330
7481,20200112030000,275.150000,92,100110,-220
7630,20200112030000,271.550000,94,101280,-350
7690,20200112030000,281.450000,58,102510,160
7015,20200112060000,278.050000,84,101640,-950
7110,20200112060000,283.950000,93,101150,-630
7149,20200112060000,277.450000,84,101570,-700
7190,20200112060000,270.450000,98,101080,-520
7481,20200112060000,274.550000,96,100110,-260
7630,20200112060000,271.250000,97,101370,-260
7690,20200112060000,280.050000,60,102560,150
7015,20200112090000,279.750000,82,101540,-1030
7110,20200112090000,283.450000,90,101300,-460
